epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.89319,3.52512,22.4811,1.7643,0.00011,0.00649,6e-05,1e-05,3.82302,18.125,1.68399,1e-05,1e-05,1e-05
2,7.34664,3.54952,26.0856,1.73614,0.00011,0.00649,6e-05,2e-05,3.8173,18.8401,1.67327,2.9703e-05,2.9703e-05,2.9703e-05
3,10.0437,3.38837,20.2462,1.83275,0.00011,0.00649,6e-05,1e-05,3.83924,19.578,1.6751,4.901e-05,4.901e-05,4.901e-05
4,12.6654,3.5208,23.2282,1.72612,0.00011,0.00649,6e-05,2e-05,3.85844,20.1523,1.68136,6.7921e-05,6.7921e-05,6.7921e-05
5,15.2636,3.37757,18.945,1.72625,0.00011,0.00649,6e-05,1e-05,3.91033,20.8606,1.6897,8.6436e-05,8.6436e-05,8.6436e-05
6,17.8252,3.53919,19.8907,1.7459,0.0001,0.00433,5e-05,2e-05,3.34129,12.8297,1.42365,0.000104555,0.000104555,0.000104555
7,20.7026,2.61052,10.4865,1.28437,0.00848,0.00939,0.00303,0.00169,2.18126,7.46573,1.0303,0.000122278,0.000122278,0.000122278
8,23.6221,2.35398,8.05868,1.10701,0.25916,0.02296,0.01097,0.00582,2.14055,6.0798,1.00284,0.000139605,0.000139605,0.000139605
9,26.558,2.04912,6.25113,1.0509,0.43008,0.02617,0.01432,0.007,2.26031,6.83595,1.06568,0.000156536,0.000156536,0.000156536
10,29.5285,1.93773,5.52592,1.02583,0.44345,0.03035,0.01967,0.01168,2.02306,7.30623,0.99823,0.000173071,0.000173071,0.000173071
11,32.4478,1.79721,4.41904,0.9866,0.31275,0.05587,0.02799,0.01621,1.97699,7.07203,0.97316,0.00018921,0.00018921,0.00018921
