epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.67464,2.55416,8.87317,1.71426,0.00076,0.14004,0.00051,0.00022,2.95396,7.07743,1.8756,1e-05,1e-05,1e-05
2,8.66455,2.54513,10.2787,1.71505,0.00076,0.14004,0.00049,0.00019,3.01764,7.20541,1.90756,2.9406e-05,2.9406e-05,2.9406e-05
3,10.4926,2.58842,9.24982,1.75477,0.00053,0.11542,0.00032,0.00017,3.05491,7.33411,1.92869,4.802e-05,4.802e-05,4.802e-05
4,12.3297,2.67959,10.4763,1.84286,0.00053,0.11542,0.00031,0.00017,3.11772,7.46347,1.95685,6.5842e-05,6.5842e-05,6.5842e-05
5,14.1471,2.47604,8.69881,1.66322,0.06438,0.13473,0.03629,0.02652,1.06946,4.34855,0.97311,8.2872e-05,8.2872e-05,8.2872e-05
6,16.3831,1.45375,5.27775,1.08462,0.2465,0.17733,0.14372,0.11077,1.04328,3.37975,0.93305,9.911e-05,9.911e-05,9.911e-05
7,18.6174,1.25887,3.77473,0.99502,0.25519,0.36314,0.24357,0.17192,0.97378,2.75031,0.90187,0.000114556,0.000114556,0.000114556
8,20.8272,1.14737,3.00422,0.93015,0.28909,0.48552,0.35296,0.23005,1.0758,2.40607,0.87962,0.00012921,0.00012921,0.00012921
9,23.0648,1.12914,2.88354,0.93788,0.44505,0.72705,0.50815,0.34349,1.08907,2.59008,0.88796,0.000143072,0.000143072,0.000143072
10,25.2996,0.94796,2.44816,0.90501,0.5199,0.7244,0.58895,0.44197,0.96999,2.48554,0.88069,0.000156142,0.000156142,0.000156142
11,27.5434,0.87953,2.27492,0.88911,0.52262,0.78272,0.61493,0.45298,0.93903,2.55019,0.87577,0.00016842,0.00016842,0.00016842
12,29.7557,0.87763,2.13098,0.88775,0.62317,0.76883,0.66043,0.48081,0.98944,2.45524,0.87413,0.000179906,0.000179906,0.000179906
13,31.9764,0.85011,1.89706,0.88195,0.62718,0.76493,0.66771,0.50962,0.85173,2.12726,0.8583,0.0001906,0.0001906,0.0001906
14,34.1792,0.80994,1.79587,0.86399,0.758,0.56048,0.66304,0.48188,0.90361,2.31656,0.86613,0.000200502,0.000200502,0.000200502
15,36.3226,0.81181,1.57603,0.87762,0.76642,0.60558,0.70063,0.51695,0.86895,2.4244,0.88859,0.000209612,0.000209612,0.000209612
16,38.4807,0.78097,1.49985,0.87187,0.62341,0.54031,0.63336,0.4573,0.80208,2.45532,0.86797,0.00021793,0.00021793,0.00021793
17,40.5713,0.83533,1.54347,0.88908,0.64556,0.73284,0.73494,0.55971,0.78078,1.79907,0.86025,0.000225456,0.000225456,0.000225456
18,42.7002,0.76719,1.4076,0.8799,0.67362,0.75397,0.73534,0.57331,0.73288,1.7729,0.86207,0.00023219,0.00023219,0.00023219
19,44.7644,0.77578,1.25615,0.86236,0.84121,0.77294,0.84122,0.65574,0.78133,1.35454,0.84387,0.000238132,0.000238132,0.000238132
20,46.7877,0.74099,1.29666,0.86247,0.65301,0.74831,0.76049,0.59312,0.78062,1.5999,0.85448,0.000243282,0.000243282,0.000243282
21,48.7476,0.69333,1.13028,0.84605,0.81405,0.78215,0.83733,0.64311,0.76708,1.20321,0.83569,0.00024764,0.00024764,0.00024764
22,50.7094,0.73047,1.12427,0.85257,0.87768,0.74496,0.84516,0.66842,0.75435,1.06192,0.83719,0.000251206,0.000251206,0.000251206
23,52.7016,0.69792,1.0481,0.85382,0.82285,0.73737,0.83502,0.66309,0.7096,1.12714,0.83347,0.00025398,0.00025398,0.00025398
24,54.6391,0.6592,1.04051,0.85219,0.85138,0.79484,0.84091,0.66451,0.73004,0.98813,0.84106,0.000255962,0.000255962,0.000255962
25,56.5641,0.66005,0.97732,0.85249,0.89667,0.80084,0.85824,0.67858,0.69021,0.87248,0.83978,0.000257152,0.000257152,0.000257152
26,58.5533,0.63849,0.84189,0.84562,0.88582,0.82775,0.88359,0.71894,0.65627,0.83719,0.82971,0.00025755,0.00025755,0.00025755
27,60.5332,0.69976,0.90672,0.86964,0.86184,0.84873,0.89896,0.7229,0.66998,0.7994,0.82359,0.000257156,0.000257156,0.000257156
28,62.5076,0.6741,0.83385,0.84864,0.91097,0.80158,0.88559,0.7288,0.64616,0.79264,0.82214,0.00025597,0.00025597,0.00025597
29,64.4901,0.66841,0.82979,0.84718,0.95581,0.82529,0.9062,0.72843,0.69937,0.73228,0.82449,0.000253992,0.000253992,0.000253992
30,66.4613,0.64962,0.77275,0.85265,0.92585,0.83851,0.91185,0.71417,0.68945,0.7372,0.82237,0.000251222,0.000251222,0.000251222
31,68.3917,0.64583,0.8546,0.85654,0.93067,0.84397,0.9082,0.70707,0.7554,0.73051,0.82336,0.00024766,0.00024766,0.00024766
32,70.3444,0.68502,0.71819,0.84946,0.93014,0.83609,0.90865,0.74773,0.64744,0.68639,0.82283,0.000243306,0.000243306,0.000243306
33,72.3408,0.59176,0.71166,0.85489,0.91242,0.84192,0.90707,0.71972,0.73624,0.67899,0.8269,0.00023816,0.00023816,0.00023816
34,74.2718,0.63556,0.70075,0.8321,0.8625,0.86854,0.90176,0.73685,0.65089,0.68808,0.81334,0.000232222,0.000232222,0.000232222
